yr,stpcd,stpnm,sex,age,admigrp,n_admi
2018,YAD00,YAD00,f,adult,reg,5
2018,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,m,child,daycase,2581
2018,9,9,m,adult,emer,2
2018,Q8700,Q8700,m,adult,daycase,2716
2018,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,f,adult,mat,28364
2018,Q8200,Q8200,m,adult,daycase,1207
2018,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,f,adult,xfer,208
2018,SD029,SD029,f,adult,emer,1
2018,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,f,adult,birth,46
2018,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,m,adult,xfer,1359
2018,Q72,Q72,m,adult,daycase,6282
2018,X24,NHS_ENGLAND,f,child,daycase,2017
2018,Q68,Q68,f,adult,ordelec,3
2018,20,20,m,adult,ordelec,1
2018,X24,NHS_ENGLAND,NA,adult,daycase,4
2018,VWE00,VWE00,f,adult,daycase,1
2018,50Y00,50Y00,m,adult,emer,3
2018,YAE,YAE,f,child,birth,2
2018,V81,V81,m,adult,emer,13
2018,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",m,adult,emer,37914
2018,SB9,SB9,f,child,paeds-emer,9
2018,YDDC9,YDDC9,m,adult,ordelec,21
2018,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,f,adult,reg,3884
2018,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,m,adult,emer,70400
2018,Q76PHS,Q76PHS,f,child,paeds-emer,2
2018,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,m,child,paeds-emer,13199
2018,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",NA,child,paeds-emer,2
2018,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,f,adult,reg,22026
2018,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NA,adult,emer,7
2018,YAC,YAC,m,adult,xfer,50
2018,Q51,Q51,m,adult,xfer,1
2018,Q8600,Q8600,m,child,birth,1
2018,SB900,SB900,f,adult,daycase,1
2018,Q87,Q87,m,adult,xfer,8
2018,ZC1,ZC1,m,adult,emer,5
2018,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,m,adult,emer,39897
2018,ZC5,ZC5,m,adult,daycase,1
2018,OVE,OVE,f,adult,daycase,2
2018,SHA,SHA,m,child,daycase,3
2018,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,f,child,NA,1
2018,Q65D,Q65D,f,adult,daycase,1
2018,5CC,5CC,m,adult,reg,49
2018,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,NA,adult,mat,32
2018,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",f,adult,ordelec,4437
2018,RRP00,RRP00,m,child,paeds-emer,1
2018,Q71,Q71,m,child,mat,11
2018,Q76,Q76,m,child,xfer,2
2018,Q71,Q71,f,child,birth,262
2018,UNK,UNKNOWN,f,child,paeds-elec,27
2018,Q8500,Q8500,NA,adult,daycase,1
2018,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,f,child,paeds-elec,373
2018,QJK,NHS DEVON INTEGRATED CARE BOARD,f,child,daycase,1714
2018,SA900,SA900,m,adult,emer,8
2018,Q72,Q72,f,child,birth,188
2018,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,f,child,birth,5642
2018,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,f,child,paeds-elec,546
2018,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,m,child,mat,16
2018,Q7400,Q7400,f,adult,reg,10
2018,ST9,ST9,f,child,daycase,2
2018,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,f,child,daycase,4448
2018,Q8300,Q8300,m,adult,ordelec,7
