start,end,source,m,f
1980,1982,GHSa,7.67,8.61
1981,1983,GHSa,7.61,8.61
1982,1984,GHSa,7.51,8.77
1983,1985,GHSa,7.61,8.86
1984,1986,GHSa,7.68,8.90
1985,1987,GHSa,7.41,8.68
1986,1988,GHSa,7.36,8.51
1987,1989,GHSa,7.61,8.74
1988,1990,GHSa,8.00,8.97
1989,1991,GHSa,8.06,9.30
1990,1992,GHSa,7.96,9.40
1991,1993,GHSa,7.99,9.51
1992,1994,GHSa,8.14,9.54
1993,1995,GHSa,8.47,9.59
1994,1996,GHSa,8.45,9.64
1995,1997,GHSa,,
1996,1998,GHSa,8.40,9.50
1997,1999,GHSa,,
1998,2000,GHSa,8.84,10.04
1999,2001,GHSa,,
2000,2002,GHSa,8.94,10.22
2001,2003,GHSb,9.25,10.44
2002,2004,GHSb,9.54,10.55
2003,2005,GHSb,10.05,10.81
2004,2006,GHSb,10.21,10.74
2005,2007,GHSb,9.88,11.00
2006,2008,GLS,10.52,10.86
2007,2009,GLS,10.50,11.44
2008,2010,GLS,10.67,11.31
2009,2011,GLS,10.84,11.05
2014,2016,APS,9.68,9.72
2015,2017,APS,9.89,9.82
2016,2018,APS,9.90,9.82
2017,2019,APS,9.86,9.74
2018,2020,APS,9.84,9.87
