start,end,source,m,f
1980,1982,NLT,13.07,17.04
1981,1983,NLT,13.15,17.14
1982,1984,NLT,13.28,17.27
1983,1985,NLT,13.34,17.32
1984,1986,NLT,13.44,17.39
1985,1987,NLT,13.54,17.48
1986,1988,NLT,13.73,17.64
1987,1989,NLT,13.88,17.72
1988,1990,NLT,13.99,17.81
1989,1991,NLT,14.1,17.87
1990,1992,NLT,14.25,18.02
1991,1993,NLT,14.32,18.02
1992,1994,NLT,14.51,18.17
1993,1995,NLT,14.61,18.21
1994,1996,NLT,14.8,18.34
1995,1997,NLT,14.93,18.37
1996,1998,NLT,15.13,18.48
1997,1999,NLT,15.32,18.6
1998,2000,NLT,15.55,18.79
1999,2001,NLT,15.8,18.97
2000,2002,NLT,16.04,19.15
2001,2003,NLT,16.24,19.22
2002,2004,NLT,16.46,19.38
2003,2005,NLT,16.73,19.57
2004,2006,NLT,17.03,19.85
2005,2007,NLT,17.27,20.01
2006,2008,NLT,17.47,20.15
2007,2009,NLT,17.69,20.35
2008,2010,NLT,17.91,20.55
2009,2011,NLT,18.18,20.82
2010,2012,NLT,18.34,20.9
2011,2013,NLT,18.46,20.97
2012,2014,NLT,18.57,21.08
2013,2015,NLT,18.61,21.04
2014,2016,NLT,18.69,21.1
2015,2017,NLT,18.71,21.08
2016,2018,NLT,18.8,21.17
2017,2019,NLT,18.91,21.3
2018,2020,NLT,18.66,21.14
